code,qr_url,status,batch_name,assigned_to
PF-000152,https://farecoh.org/t/8c8279903399755582d2a6febfc6d5ef7559ad12eefaf596df7e0679e98e3ccf,available,LOTE GENERAL 001,
PF-000153,https://farecoh.org/t/aac53b48494ad968ff4eb03d0e2b69ae44ecf86da10a86a3e8e2d757cf17d8db,available,LOTE GENERAL 001,
PF-000154,https://farecoh.org/t/9e66045af639b633a5747cbafbe2814f373383173178edee1e667274abd0c2e4,available,LOTE GENERAL 001,
PF-000155,https://farecoh.org/t/0bb92a34c4d62207a837d1f6e4616271eed40ffa8ac5c30f7c1d6078cd0b5626,available,LOTE GENERAL 001,
PF-000156,https://farecoh.org/t/1277778c1eb1b3a4f8e8dd6faaa3e9b6a22a749672b319d29a14a5d0fcf760d9,available,LOTE GENERAL 001,
PF-000157,https://farecoh.org/t/cc3faf85f5b449a262e047d1d7767b866ba221b370ca61d39b1da9007919d728,available,LOTE GENERAL 001,
PF-000158,https://farecoh.org/t/5651deaa44a22b420a06167fe688a6750db261fd64583018e60d125dc0d76b9d,available,LOTE GENERAL 001,
PF-000159,https://farecoh.org/t/67462a85798fee6037d8327c52ead866228a0e861deed7401f603c9180261a35,available,LOTE GENERAL 001,
PF-000160,https://farecoh.org/t/a83010803aebc7309a37d520f858cac7f9d50064cdeff454e6d0702278aca8a0,available,LOTE GENERAL 001,
PF-000161,https://farecoh.org/t/be9807d1004e84e3954418cfe3dbb1e586a50f8b03be1acfb7735d70eaa32a21,available,LOTE GENERAL 001,
PF-000162,https://farecoh.org/t/70d4936857fa8a8b7368155e36c54917f5d670fdb81774ebab2debc4775250da,available,LOTE GENERAL 001,
PF-000163,https://farecoh.org/t/8e738de6007a391e7e96c7aa288c2dd8d1ddd2631c68ebd8a66d6023149a1075,available,LOTE GENERAL 001,
PF-000164,https://farecoh.org/t/3eeed9cb25b33e0b414b49251e47abaaf146ce525bcf34787bc3a760d8d50ea6,available,LOTE GENERAL 001,
PF-000165,https://farecoh.org/t/800dd76989ddadb2d23e5a58f6656844ff2dae4ebdcf6b5b107eec47f348b819,available,LOTE GENERAL 001,
PF-000166,https://farecoh.org/t/cc3773e2f04c3826d7161859caa09ebc617a2d81b1c82e46d67330f21c725efe,available,LOTE GENERAL 001,
PF-000167,https://farecoh.org/t/301fda915e8ee9b9fb99236dee8ed414db7ec5c34efe5ba9af76d9991f4ed336,available,LOTE GENERAL 001,
PF-000168,https://farecoh.org/t/44713b210265b3ffd0c12712dd16bca9d19a4afecc1001e3ec0b51c5b328020d,available,LOTE GENERAL 001,
PF-000169,https://farecoh.org/t/6b7e7779eb6e6553d0bd362a15b12de61412c343b0aa026d25ddefa5993797de,available,LOTE GENERAL 001,
PF-000170,https://farecoh.org/t/f3c8bf3d319809ae002509f75e328641432214f543a26d9771d8c91667adc44b,available,LOTE GENERAL 001,
PF-000171,https://farecoh.org/t/655cef49c659c095ba8836065beb206a0de8b0cd775bd9a1463d275bc92d5512,available,LOTE GENERAL 001,
PF-000172,https://farecoh.org/t/dba4009b0044f1f50c7673b22eba25b7dd39dba8d5e3e66d67715b9832f43f29,available,LOTE GENERAL 001,
PF-000173,https://farecoh.org/t/289d92ba0a9bcb2f4402e10969019e8316cde01ef5c9612a59a409e88af1fd13,available,LOTE GENERAL 001,
PF-000174,https://farecoh.org/t/fde8779ce8cb9839965ff547297e0f323e3584188e0ebc97af2591f5666641a7,available,LOTE GENERAL 001,
PF-000175,https://farecoh.org/t/3ae7a590991a902efb2817aa9f9add688cd93b96b0da03ac7afb9b052aee2856,available,LOTE GENERAL 001,
PF-000176,https://farecoh.org/t/6846a93d0232ec995df99889dd028d6ab89178d33edbe206282165df837d85c2,available,LOTE GENERAL 001,
PF-000177,https://farecoh.org/t/1cbdb3951d681d4cacbd7abb779df3e7146707c5c077884f6e9413b94a006b64,available,LOTE GENERAL 001,
PF-000178,https://farecoh.org/t/6450fd6066e8d74702c284a1d8cae06216611d1aabac777b8e120f212e4be5d6,available,LOTE GENERAL 001,
PF-000179,https://farecoh.org/t/29b8bd12ef2f64d47f597d92e78578b74442087376ae080486c8147adafa3834,available,LOTE GENERAL 001,
PF-000180,https://farecoh.org/t/29e4ca6fc7fff809edd5b01ec1ee914612a4c1689e53c848b8ae3ae595f63f49,available,LOTE GENERAL 001,
PF-000181,https://farecoh.org/t/8643d0ba547fb97b944c5d45b6b7fb7a95da302fc59301003703b506b01d765b,available,LOTE GENERAL 001,
PF-000182,https://farecoh.org/t/22e065be604bb69354d4b707f21c079fe4d9fbbe15036ef7ed08041d22e9b5b7,available,LOTE GENERAL 001,
PF-000183,https://farecoh.org/t/0ab8c8ea0c5a48a272d308a699c1a01dbbce3988253e841e0265b7565753f8d8,available,LOTE GENERAL 001,
PF-000184,https://farecoh.org/t/d16ef68d427fb515b9567b7a7d3c165d74289468f500a600075e07640a6f101b,available,LOTE GENERAL 001,
PF-000185,https://farecoh.org/t/254f3a76eaffa4deb74573dcce878449e6fa126ed6a54a013d82d5f0c7123e4f,available,LOTE GENERAL 001,
PF-000186,https://farecoh.org/t/10a709ed4fb76029891129e9121849d92df87d92dcc12ff8d8f4a5e0bf5821a6,available,LOTE GENERAL 001,
